Filename,Kanji,Kun,On,Hán Việt,English,Vietnamese
1,一,ひと-、 ひと.つ,イチ、 イツ,Nhất,"One, 1","Một, 1"
2,乙 ,おと-、 きのと,オツ、 イツ,Ất,"Second (party to an agrement), ",ngôi thứ hai thuộc hàng Can
3,〇,,,Linh,"Zero, 0",Số 0
4,丁,ひのと,チョウ、 テイ、 チン、 トウ、 チ,Đinh,counter for leaves in a book ,họ Đinh
5,七,なな、 なな.つ、 なの,シチ,Thất,"Seven, 7",Số 7
6,九,ここの、 ここの.つ,キュウ、 ク,Cửu,"Nine, 9",Số 9
7,了 ,, リョウ,Liễu,finish; completion; the end,"Xong, hết, đã rồi"
8,二,ふた、 ふた.つ、 ふたたび,ニ、 ジ,Nhị,"Two, 2",Số 2
9,人,ひと、 -り、 -と, ジン、 ニン,Nhân,person; someone; somebody,Con người
10, 入 ,い.る、 -い.る、 -い.り、 い.れる、 -い.れ、 はい.る,ニュウ、 ジュ,Nhập,"Entering , income",Vào trong 
11, 八," や, や.つ, やっ.つ, よう","ハチ,  ハツ",Bát,"Eight, 8",Số 8
12,刀,"かたな, そり",トウ,Đao,"Sword , katana","Cái đao, con dao"
13,力,ちから,"リョク,  リキ,  リイ",Lực,force; strength; might; vigour; vigor; energy,Sức lực
14,十,"とお, と, そ","ジュウ,  ジッ,  ジュッ",Thập,"Ten, 10",Số 10
15,又," また,また-, また.の",ユウ,Hựu,again; once more; once again; another time; some other time​,Còn lại
16,乃,"の, すなわ.ち,  なんじ","ナイ, ダイ,ノ, アイ",Nãi,s; of; belonging to,"Bèn, rồi thì, bởi vậy"
17,万,よろず,"マン,  バン",Vạn,"Ten thousand, 10000",mười nghìn
18,丈,"たけ, だけ",ジョウ,Trượng,height; stature,"đơn vị đo (bằng 10 thước), già cả"
19,三,み、 み.つ、 みっ.つ,サン、 ゾウ,Tam,Three,Số 3
20, 上,うえ、 -うえ、 うわ-、 かみ、 あ.げる、 -あ.げる、 あ.がる、 -あ.がる、 あ.がり、 -あ.がり、 のぼ.る、 のぼ.り、 のぼ.せる、 のぼ.す、 たてまつ.る,ジョウ、 ショウ、 シャン,Thượng,above; up; over; elder ,ở phía trên
21, 下,した、 しも、 もと、 さ.げる、 さ.がる、 くだ.る、 くだ.り、 くだ.す、 -くだ.す、 くだ.さる、 お.ろす、 お.りる,カ、 ゲ,Hạ,below; down; under; younger,ở phía dưới
22,丸,まる、 まる.める、 まる.い,ガン,Hoàn,"circle, whole, full","viên, tròn"
23,久, ひさ.しい,キュウ、 ク,Cửu,a long time (since the last time); first in a long time,"Lâu, chờ đợi"
24,亡,な.い、 な.き-、 ほろ.びる、 ほろ.ぶ、 ほろ.ぼす,ボウ、 モウ,Vong,death,"Chết, mất"
